preset,condition,benchmark,n,correct,accuracy
qwen3.5-0.8b-it,bacon,bbh,7004,2251,0.3214
qwen3.5-0.8b-it,baseline,bbh,8585,3674,0.428
qwen3.5-0.8b-it,confucian,bbh,6991,1671,0.239
qwen3.5-0.8b-it,cot,bbh,6511,2426,0.3726
qwen3.5-0.8b-it,dao,bbh,6973,1727,0.2477
qwen3.5-0.8b-it,falsificationist,bbh,6947,1263,0.1818
qwen3.5-0.8b-it,hegelian,bbh,6983,1411,0.2021
qwen3.5-0.8b-it,legal,bbh,6961,1629,0.234
qwen3.5-0.8b-it,logician,bbh,6983,1464,0.2097
qwen3.5-0.8b-it,military,bbh,6994,1100,0.1573
qwen3.5-0.8b-it,mohist,bbh,9926,3400,0.3425
qwen3.5-0.8b-it,neutral_long,bbh,8011,3503,0.4373
qwen3.5-0.8b-it,pragmatist,bbh,6971,1786,0.2562
qwen3.5-0.8b-it,socratic,bbh,6986,1643,0.2352
qwen3.5-0.8b-it,stoic,bbh,6952,1566,0.2253
qwen3.5-0.8b-it,wittgenstein,bbh,6969,1140,0.1636
qwen3.5-0.8b-it,yangming,bbh,6962,1816,0.2608
qwen3.5-0.8b-it,bacon,gsm8k,1344,314,0.2336
qwen3.5-0.8b-it,baseline,gsm8k,2638,1418,0.5375
qwen3.5-0.8b-it,confucian,gsm8k,1419,678,0.4778
qwen3.5-0.8b-it,cot,gsm8k,1244,659,0.5297
qwen3.5-0.8b-it,dao,gsm8k,1414,568,0.4017
qwen3.5-0.8b-it,falsificationist,gsm8k,1320,335,0.2538
qwen3.5-0.8b-it,hegelian,gsm8k,1324,220,0.1662
qwen3.5-0.8b-it,legal,gsm8k,1398,555,0.397
qwen3.5-0.8b-it,logician,gsm8k,1416,622,0.4393
qwen3.5-0.8b-it,military,gsm8k,1405,258,0.1836
qwen3.5-0.8b-it,mohist,gsm8k,1410,383,0.2716
qwen3.5-0.8b-it,neutral_long,gsm8k,1319,710,0.5383
qwen3.5-0.8b-it,pragmatist,gsm8k,1333,507,0.3803
